source,MAE,bias,L0,Ncuts,coverage
3C_111,0.2030408832938005,-0.029833727460040347,0.1,68,0.5
3C_120,67.25170789609788,-67.24459346019736,0.1,68,0.5
3C_264,14.831753930586986,-14.757028228737905,0.1,68,0.5
3C_273,83.69872606885357,-83.60580892946109,0.1,68,0.5
3C_279,111.34511335080028,-111.29865478110402,0.1,68,0.5
3C_345,107.87526686062212,-107.87526686062212,0.1,68,0.5
3C_3453,74.58447694866442,-74.5606139460165,0.1,68,0.5
3C_380,109.77150510266868,-109.77150510266868,0.1,68,0.5
3C_382,108.3389934914371,-108.3389934914371,0.1,68,0.5
3C_84,22.472342742046578,-22.472342742046578,0.1,68,0.5
4C-0611,103.0433215455064,-102.9503916469289,0.1,68,0.5
BL_Lac,77.42778132901563,-77.42778132901563,0.1,68,0.5
CTA_102,57.28917201559754,-56.97942348131047,0.1,68,0.5
CYG_A,14.23002382128372,-14.0481925931104,0.21900000000000003,68,0.5
M87,92.95129677491046,-92.95129677491046,0.1,68,0.5
MRK_421,16.43164253986615,-16.43164253986615,0.1,68,0.5
MRK_501,75.1852204353804,-74.92655604132561,0.1,68,0.5
NGC_1052,119.44846212235191,-119.44846212235191,0.1,68,0.5
NGC_315,113.71490238830977,-113.71490238830977,0.1,68,0.5
NGC_6251,111.24071974923991,-111.20974736944243,0.1,68,0.5
OC_270,26.574212311762714,-26.569049816095262,12.0,68,0.5
PKS_0528_134,0.04672547262868603,-0.03911095969496271,12.0,68,0.5
PKS_1510-089,68.82518692590375,-68.82518692590375,0.1,68,0.5
PMN_J0906_0905,56.869017092696645,-56.561253873347304,0.1,68,0.5
